sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"250mmVC","250MM Vice Crip",,"R 50.11","50.11","60.13","69.15","16.66","10.02","5","Yes","Yes"
"250vC","250mm Vicegrip CRV",,"R 0.00","0","225","258.75","0","225","10","Yes","Yes"
"253wc","25mm 3 way Connect",,"R 21.48","21.48","26.25","30.19","18.17","4.77","400","Yes","Yes"
"25DE","Degreaser eezistrip 25 Litre",,"R 0.00","0","1111","1277.65","0","1111","3","Yes","Yes"
"25LBWL","25 Litre Bucket with Lid",,"R 0.00","0","115","132.25","0","115","30","Yes","Yes"
"25lDW","Distilled Water 25 Litre",,"R 0.00","0","265","304.75","0","265","3","Yes","Yes"
"25lJCT","25 Litre Jerry Can with tap",,"R 0.00","0","184.41","212.07","0","184.41","4","Yes","Yes"
"25mmEC","End Cap 25mm",,"R 0.00","0","2","2.3","0","2","-125","Yes","Yes"
"25mmWC","25mm Welding Cable (Per Meter)",,"R 0.00","0","122","140.3","0","122","10","Yes","Yes"
"25P","25mm Pins[5000/Box]",,"R 0.00","0","74","85.1","0","74","0","Yes","Yes"
"25WR","Welding Rod S/S 316L 2.5mm STAINCRFT [P/KG]",,"R 210.00","164.57","372","427.8","55.76","207.43","6","Yes","Yes"
"25WRV","2.5mm Welding Rod Vitemax Bulk (P/KG)",,"R 247.50","247.5","240","276","-3.13","-7.5","-28","Yes","Yes"
"26fl30","26mm T8 FLUORESCENT LAMP 30W 3FT - COOL WHITE",,"R 0.00","0","45.6","52.44","0","45.6","10","Yes","Yes"
"26mmCCPVR","26mm Combination Spanner CR-V",,"R 53.11","5.31","70.09","80.6","92.42","64.78","10","Yes","Yes"
"275SP","2.75 x 1.83M x16mm Superwood",,"R 820.00","820","1245","1431.75","34.14","425","5","Yes","Yes"
"27MMCS","27MM Combination Spanner",,"R 62.90","62.9","83.88","96.46","25.01","20.98","10","Yes","Yes"
"280mmFR","Jumbo Roll Stand Floor 280mm",,"R 607.83","607.83","500","575","-21.57","-107.83","-6","Yes","Yes"
"2BEH","2 Bar Electric Heater",,"R 0.00","0","350","402.5","0","350","-3","Yes","Yes"
"2CCT","Black 2core Cabtyre 1.0mm",,"R 8.75","0.88","13.5","15.52","93.48","12.62","1000","Yes","Yes"
"2KGWHH","2 Kg Wooden Handle Hammer",,"R 0.00","0","199.78","229.75","0","199.78","5","Yes","Yes"
"2LBH","2LB Hammer",,"R 81.61","8.16","108.97","125.32","92.51","100.81","10","Yes","Yes"
"2mmAKT","Allen Key T-Handle K/T B/P 2.5mm",,"R 0.00","0","95","109.25","0","95","4","Yes","Yes"
"2mWRPVR","PVR CLR Wire Rope 2MMX3MM",,"R 0.00","0","9","10.35","0","9","-150","Yes","Yes"
"2Pc SS","2 Piece Engineers Scriber Set",,"R 0.00","0","91.13","104.8","0","91.13","5","Yes","Yes"
"2T2MS","2Tx2M Flat Webbing Sling",,"R 138.00","138","165.6","190.44","16.67","27.6","5","Yes","Yes"
"2T5MS","2Tx5M Flat Webbing Sling",,"R 644.00","644","772.8","888.72","16.67","128.8","5","Yes","Yes"
"2THK","A/KEY T-HANDLE JTEC 2mm",,"R 0.00","0","45","51.75","0","45","4","Yes","Yes"
"2TRK","2330189 THERMOSTAT REPLACEMENT KIT",,"R 782.50","761.91","1328","1527.2","42.63","566.09","2","Yes","Yes"
"300MMPWP","Pliers Water Pump 300mm Cr-V",,"R 108.56","75.99","236","271.4","67.8","160.01","10","Yes","Yes"
"300mmS","300mm Shifter",,"R 0.00","0","249","286.35","0","249","5","Yes","Yes"
"300SSR","300mm Stainless Steel Ruler",,"R 0.00","0","18.18","20.91","0","18.18","5","Yes","Yes"
"30HDEC","Heavy Duty 30m Extension Cord",,"R 0.00","0","1500","1725","0","1500","-1","Yes","Yes"
"30mmCCRV","30mm Combination Spanner CR-V",,"R 0.00","0","114.26","131.4","0","114.26","9","Yes","Yes"
"30MMCS","30MM Combination Spanner",,"R 86.83","90.98","109.68","126.13","17.05","18.7","11","Yes","Yes"
"30mmCSB","30mm Combination Spanner",,"R 0.00","0","360.09","414.1","0","360.09","5","Yes","Yes"
"30mmP","30mm Padlock ABUS",,"R 66.32","39.79","141","162.15","71.78","101.21","20","Yes","Yes"
"30mmS","30mm Spanner",,"R 0.00","0","137.1","157.66","0","137.1","5","Yes","Yes"
"30mmSRH","30mm Scrapper with Rubber Handle",,"R 0.00","0","34","39.1","0","34","4","Yes","Yes"
"30PAKS","30 Pieces Allen Key Set Metric & Imperial sizes",,"R 155.46","134.73","244","280.6","44.78","109.27","3","Yes","Yes"
"30SID","30W Solder Iron Deamark",,"R 1,071.61","107.16","300","345","64.28","192.84","10","Yes","Yes"
"31SG","3-in-1 Staple Gun",,"R 0.00","0","787","905.05","0","787","5","Yes","Yes"
"32005","Sy320 Oil 5Litre",,"R 930.43","186.09","560","644","66.77","373.91","5","Yes","Yes"
"320PT","320mm Pride Toolbox",,"R 60.11","6.01","135","155.25","95.55","128.99","10","Yes","Yes"
"32Ac5c","32A CEE 5Pin Coupler 380V SP",,"R 0.00","0","215.74","248.1","0","215.74","0","Yes","Yes"
"32ASCP380","32A Spin Cee Plugtop 380V S/PR",,"R 0.00","0","233.97","269.07","0","233.97","0","Yes","Yes"
"32CSS","6-32 mm Set Combination Spanner",,"R 0.00","0","780","897","0","780","-1","Yes","Yes"
"32cTB","32cm Toolbox",,"R 0.00","0","90","103.5","0","90","2","Yes","Yes"
"32lrb","Addis Lift Top Rubbish Bin 32 Litre",,"R 135.00","135","182.25","209.59","25.93","47.25","7","Yes","Yes"
"33cmGWC","33cm Glass Wall Clock",,"R 0.00","0","360","414","0","360","-2","Yes","Yes"
"34MMCS","34MM Combination Spanner",,"R 93.80","93.8","112.56","129.44","16.67","18.76","10","Yes","Yes"
"34PPE","300x400mm Private Property Enter At Your Own Risk",,"R 0.00","0","168","193.2","0","168","6","Yes","Yes"
"350400BS","350x400 Bracket Shelf W/Stay",,"R 185.00","185","139","159.85","-33.09","-46","5","Yes","Yes"
"36MMCS","36MM Combination Spanner",,"R 226.50","226.5","271.8","312.57","16.67","45.3","10","Yes","Yes"
"36PW","36 Inch Pipe Wrench",,"R 0.00","0","844.05","970.66","0","844.05","20","Yes","Yes"
"3814unc","3/8-16x1.1/4 GR 5 H/T UNC HEX SET SCREW",,"R 0.00","0","156.28","179.72","0","156.28","9.5","Yes","Yes"
"38mBO","38mm Basin Waste Outlet",,"R 0.00","0","100","115","0","100","10","Yes","Yes"
"38nr","N/PL REDBUS 3/8Mx1/4F *41",,"R 6.00","6","27","31.05","77.78","21","44.2","Yes","Yes"
"38uncsc","3/8-16x1 GR 5 H/T UNC HEX SET SCREW",,"R 0.00","0","146.02","167.92","0","146.02","9.5","Yes","Yes"
"3LDWNF","Distilled Water 3L",,"R 0.00","0","74.19","85.32","0","74.19","1","Yes","Yes"
"3LPs","3 Piece Long Pin Punch Set",,"R 0.00","0","176.78","203.3","0","176.78","5","Yes","Yes"
"3M6057","Org/Inor & Acid Gases/vapours Cart ABE",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"3mCW","3MM Clamp Wire Rope H/D",,"R 1.34","0.67","2.5","2.88","73.2","1.83","100","Yes","Yes"
"3mmCS","3mm Cord Stretch",,"R 2.83","1.9","10","11.5","81","8.1","298","Yes","Yes"
"3mmfc","Aluminium ferrules 3.0mm(Per 100)",,"R 0.45","0.49","167","192.05","99.71","166.51","1703","Yes","Yes"
"3mmTH","A/KEY T-HNDL M/T BP 3mm",,"R 0.00","0","48","55.2","0","48","1","Yes","Yes"
"3mWx","3M White Extension",,"R 22.75","3.25","169","194.35","98.08","165.75","7","Yes","Yes"
"3PA","3 Pin Adaptor to Schuko",,"R 22.75","10.55","26.99","31.04","60.91","16.44","62","Yes","Yes"
"3pCCP","3 Piece Center Punch",,"R 43.67","21.84","176.78","203.3","87.65","154.94","10","Yes","Yes"
"3PIWb","3 Piece Abrasive Wire Brush Set-Ingco",,"R 0.00","0","219.7","252.65","0","219.7","0","Yes","Yes"
"3PPS","3 Piece Plier Set",,"R 0.00","0","341","392.15","0","341","4","Yes","Yes"
"3sr","3mm GKT SILICON RED SQ/M(Per Meter)",,"R 0.00","0","1630","1874.5","0","1630","2","Yes","Yes"
"3SSL","3 Step Steel Ladder",,"R 0.00","0","749","861.35","0","749","2","Yes","Yes"
"4015 500ar","Rivet Aluminium 4015 (Per 500)",,"R 0.00","0","176","202.4","0","176","8","Yes","Yes"
"4040cS p","P/LOCK ABUS 65 L/S 40mm x 40mm",,"R 0.00","0","190.77","219.39","0","190.77","-10","Yes","Yes"
"40cm","40Kg Concrete Mix",,"R 0.00","0","51","58.65","0","51","150","Yes","Yes"
"40mmPB","40mm x63mm Padlock Abus 65 L/S",,"R 152.40","152.4","183","210.45","16.72","30.6","0","Yes","Yes"
"410RVt","4.0x10mm or 12mm Rivet(p/100)",,"R 0.00","0","282","324.3","0","282","-3","Yes","Yes"
"44APS","400x400mm Assembly Point Sign",,"R 0.00","0","88","101.2","0","88","6","Yes","Yes"
"450mmBB","450mm Black Broom",,"R 0.00","0","120","138","0","120","-9","Yes","Yes"
"450S","450mm Shifter",,"R 0.00","0","702.95","808.39","0","702.95","20","Yes","Yes"
"458TH","VME VALVE 3/2 NC PLUNGER",,"R 0.00","0","906.58","1042.57","0","906.58","0","Yes","Yes"
"4815RA","RIVETS - ALUMINIUM 4.8 X 15MM 100PCS",,"R 40.00","8","37.13","42.7","78.45","29.13","5","Yes","Yes"
"4818RA","RIVETS - ALUMINIUM 4.8 X 18MM 100PCS",,"R 0.00","0","38.48","44.25","0","38.48","5","Yes","Yes"
"489YTH","ADAPTOR FOR BUTTON/VALVE ASSY",,"R 0.00","0","140.53","161.61","0","140.53","0","Yes","Yes"
"48KGEC","48 KG Emmpty Cylinder",,"R 0.00","0","2100","2415","0","2100","-4","Yes","Yes"
"4AC","Atchar Cups 250ml(per 400)",,"R 0.00","0","300","345","0","300","-1","Yes","Yes"
"4LBH","4LB Hammer",,"R 137.20","47.11","146.4","168.36","67.82","99.29","14","Yes","Yes"
"4mmPR","4.0x10mm or 12mm Rivet(p/1000)",,"R 18.00","18","550.36","632.91","96.73","532.36","-60","Yes","Yes"
"4pcF","4 Piece Funnel Set",,"R 0.00","0","25","28.75","0","25","3","Yes","Yes"
"4PMS","4 Piece Mini Plier C/Clip Set",,"R 0.00","0","560","644","0","560","4","Yes","Yes"
"4RBW","4 Row Plastic Brush Welder",,"R 0.00","0","51.5","59.22","0","51.5","1","Yes","Yes"
"4SLGC","4mm STD Link Galvanised Chain Per Meter",,"R 0.00","0","18","20.7","0","18","100","Yes","Yes"
"4SPC","4 Piece Centre Punch Set",,"R 0.00","0","102.75","118.16","0","102.75","5","Yes","Yes"
"4X50A/K","4mmX50 Allen key SDR Bit",,"R 0.00","0","44.5","51.18","0","44.5","990","Yes","Yes"
"500CCG","500ml GENKEM Contact Cleaner",,"R 0.00","0","144","165.6","0","144","-12","Yes","Yes"
"500MLFFBM","500ML Filler Foam BM",,"R 44.95","44.95","113","129.95","60.22","68.05","15","Yes","Yes"
"500mlSB","500 ml Spray Bottle(6)",,"R 0.00","0","52","59.8","0","52","0","Yes","Yes"
"5050SWB","50mmx50m Safety Walk Black",,"R 0.00","0","624.55","718.23","0","624.55","0","Yes","Yes"
"50Gcbs","50mm Grey Castor B/H Swivel",,"R 0.00","0","24.5","28.17","0","24.5","1","Yes","Yes"
"50mAP","50mm ABUS Padlock",,"R 0.00","0","223","256.45","0","223","-2","Yes","Yes"
"50mmCR","Castor Grey RBR 50mm SWV +BRK",,"R 0.00","0","52","59.8","0","52","8","Yes","Yes"
"50mmPB","Abus 65 Series Padlock 50mm",,"R 0.00","0","225.63","259.47","0","225.63","0","Yes","Yes"
"50MPB","50mm Paint Brush",,"R 15.20","15.2","24","27.6","36.67","8.8","-5","Yes","Yes"
"50MSEC","50mm End Cap Inside Square",,"R 0.00","0","7.99","9.19","0","7.99","-50","Yes","Yes"
"50mWPEC","50mm white PVC END Cap",,"R 0.00","0","17","19.55","0","17","5","Yes","Yes"
